1`HB`1138_bus`1138`1138`4054`yes`1138`1`1`0`symmetric`symmetric`real`symmetric`yes`yes`D. Tylavsky`I. Duff, R. Grimes, J. Lewis`1985`power network problem`
2297`SNAP`ca-GrQc`5242`5242`28980`unknown`unknown`unknown`355`0`symmetric`symmetric`binary`symmetric`no`no`J. Leskovec, J. Kleinberg and C. Faloutsos`J. Leskovec`2003`undirected graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nGeneral Relativity and Quantum Cosmology collaboration network                 \n                                                                               \nDataset information                                                            \n                                                                               \nArxiv GR-QC (General Relativity and Quantum Cosmology) collaboration network is\nfrom the e-print arXiv and covers scientific collaborations between authors    \npapers submitted to General Relativity and Quantum Cosmology category. If an   \nauthor i co-authored a paper with author j, the graph contains a undirected    \nedge from i to j. If the paper is co-authored by k authors this generates a    \ncompletely connected (sub)graph on k nodes.                                    \n                                                                               \nThe data covers papers in the period from January 1993 to April 2003 (124      \nmonths). It begins within a few months of the inception of the arXiv, and thus \nrepresents essentially the complete history of its GR-QC section.              \n                                                                               \nDataset statistics                                                             \nNodes   5242                                                                   \nEdges   28980                                                                  \nNodes in largest WCC    4158 (0.793)                                           \nEdges in largest WCC    26850 (0.927)                                          \nNodes in largest SCC    4158 (0.793)                                           \nEdges in largest SCC    26850 (0.927)                                          \nAverage clustering coefficient  0.5296                                         \nNumber of triangles     48260                                                  \nFraction of closed triangles    0.6298                                         \nDiameter (longest shortest path)    17                                         \n90-percentile effective diameter    7.6                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, J. Kleinberg and C. Faloutsos. Graph Evolution: Densification and \nShrinking Diameters. ACM Transactions on Knowledge Discovery from Data (ACM    \nTKDD), 1(1), 2007.                                                             \n                                                                               \nFiles                                                                          \nFile    Description                                                            \nca-GrQc.txt.gz  Collaboration network of Arxiv General Relativity category     \n
2298`SNAP`ca-HepPh`12008`12008`237010`unknown`unknown`unknown`278`0`symmetric`symmetric`binary`symmetric`no`no`J. Leskovec, J. Kleinberg and C. Faloutsos`J. Leskovec`2003`undirected graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nHigh Energy Physics - Phenomenology collaboration network                      \n                                                                               \nDataset information                                                            \n                                                                               \nArxiv HEP-PH (High Energy Physics - Phenomenology) collaboration network is    \nfrom the e-print arXiv and covers scientific collaborations between authors    \npapers submitted to High Energy Physics - Phenomenology category. If an author \ni co-authored a paper with author j, the graph contains a undirected edge from \ni to j. If the paper is co-authored by k authors this generates a completely   \nconnected (sub)graph on k nodes.                                               \n                                                                               \nThe data covers papers in the period from January 1993 to April 2003 (124      \nmonths). It begins within a few months of the inception of the arXiv, and thus \nrepresents essentially the complete history of its HEP-PH section.             \n                                                                               \nDataset statistics                                                             \nNodes   12008                                                                  \nEdges   237010                                                                 \nNodes in largest WCC    11204 (0.933)                                          \nEdges in largest WCC    235268 (0.993)                                         \nNodes in largest SCC    11204 (0.933)                                          \nEdges in largest SCC    235268 (0.993)                                         \nAverage clustering coefficient  0.6115                                         \nNumber of triangles     3358499                                                \nFraction of closed triangles    0.6595                                         \nDiameter (longest shortest path)    13                                         \n90-percentile effective diameter    5.8                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, J. Kleinberg and C. Faloutsos. Graph Evolution: Densification and \nShrinking Diameters. ACM Transactions on Knowledge Discovery from Data (ACM    \nTKDD), 1(1), 2007.                                                             \n                                                                               \nFiles                                                                          \nFile    Description                                                            \nca-HepPh.txt.gz     Collaboration network of Arxiv High Energy Physics category\n
2299`SNAP`ca-HepTh`9877`9877`51971`unknown`unknown`unknown`429`0`symmetric`symmetric`binary`symmetric`no`no`J. Leskovec, J. Kleinberg and C. Faloutsos`J. Leskovec`2003`undirected graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nHigh Energy Physics - Theory collaboration network                             \n                                                                               \nDataset information                                                            \n                                                                               \nArxiv HEP-TH (High Energy Physics - Theory) collaboration network is from the  \ne-print arXiv and covers scientific collaborations between authors papers      \nsubmitted to High Energy Physics - Theory category. If an author i co-authored \na paper with author j, the graph contains a undirected edge from i to j. If the\npaper is co-authored by k authors this generates a completely connected        \n(sub)graph on k nodes.                                                         \n                                                                               \nThe data covers papers in the period from January 1993 to April 2003 (124      \nmonths). It begins within a few months of the inception of the arXiv, and thus \nrepresents essentially the complete history of its HEP-TH section.             \n                                                                               \nDataset statistics                                                             \nNodes   9877                                                                   \nEdges   51971                                                                  \nNodes in largest WCC    8638 (0.875)                                           \nEdges in largest WCC    49633 (0.955)                                          \nNodes in largest SCC    8638 (0.875)                                           \nEdges in largest SCC    49633 (0.955)                                          \nAverage clustering coefficient  0.4714                                         \nNumber of triangles     28339                                                  \nFraction of closed triangles    0.284                                          \nDiameter (longest shortest path)    17                                         \n90-percentile effective diameter    7.5                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, J. Kleinberg and C. Faloutsos. Graph Evolution: Densification and \nShrinking Diameters. ACM Transactions on Knowledge Discovery from Data (ACM    \nTKDD), 1(1), 2007.                                                             \n                                                                               \nFiles                                                                          \nFile    Description                                                            \nca-HepTh.txt.gz     Collaboration network of Arxiv High Energy Physics         \n                     Theory category                                           \n
2300`SNAP`web-BerkStan`685230`685230`7600595`unknown`unknown`unknown`109406`0`25%`25%`binary`unsymmetric`no`no`S. Kamvar`J. Leskovec`2002`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nBerkeley-Stanford web graph                                                    \n                                                                               \nNOTE:  This is an earlier version (2002) of the data obtained from             \nSep Kamvar, Stanford (2003) (the Kamvar/Stanford_Berkeley graph                \nin the UF collection, matrix ID 980).                                          \n                                                                               \nDataset information                                                            \n                                                                               \nNodes represent pages from berkely.edu and stanford.edu domains and directed   \nedges represent hyperlinks between them. The data was collected in 2002.       \n                                                                               \nDataset statistics                                                             \nNodes   685230                                                                 \nEdges   7600595                                                                \nNodes in largest WCC    654782 (0.956)                                         \nEdges in largest WCC    7499425 (0.987)                                        \nNodes in largest SCC    334857 (0.489)                                         \nEdges in largest SCC    4523232 (0.595)                                        \nAverage clustering coefficient  0.6149                                         \nNumber of triangles     64690980                                               \nFraction of closed triangles    0.08769                                        \nDiameter (longest shortest path)    669                                        \n90-percentile effective diameter    10                                         \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, K. Lang, A. Dasgupta, M. Mahoney. Community Structure in Large    \nNetworks: Natural Cluster Sizes and the Absence of Large Well-Defined Clusters.\narXiv.org:0810.1355, 2008.                                                     \n                                                                               \nFiles                                                                          \nFile    Description                                                            \nweb-BerkStan.txt.gz     Berkely-Stanford web graph from 2002                   \n                                                                               \nNOTE: a near duplicate of this problem already appears in the UF Collection:   \n                                                                               \nweb-BerkStan        Kamvar/Stanford_Berkeley                                   \n                    in SNAP/:       n: 685230   nz: 7600595                 \n                    in Kamvar/      n: 683446   nz: 7583376                 \n                                                                               \n                    I obtained the Kamvar/Stanford_Berkeley directly           \n                    from Sep Kamvar.  It is slightly smaller than the          \n                    version in SNAP.  It is thus likely that Sep created       \n                    multiple versions of the graph.                            \n
2301`SNAP`web-Google`916428`916428`5105039`unknown`unknown`unknown`412479`0`31%`31%`binary`unsymmetric`no`no`Google`J. Leskovec`2002`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nGoogle web graph                                                               \n                                                                               \nDataset information                                                            \n                                                                               \nNodes represent web pages and directed edges represent hyperlinks between them.\nThe data was released in 2002 by Google as a part of Google Programming        \nContest.                                                                       \n                                                                               \nDataset statistics                                                             \nNodes   875713                                                                 \nEdges   5105039                                                                \nNodes in largest WCC    855802 (0.977)                                         \nEdges in largest WCC    5066842 (0.993)                                        \nNodes in largest SCC    434818 (0.497)                                         \nEdges in largest SCC    3419124 (0.670)                                        \nAverage clustering coefficient  0.6047                                         \nNumber of triangles     13391903                                               \nFraction of closed triangles    0.05523                                        \nDiameter (longest shortest path)    22                                         \n90-percentile effective diameter    8.1                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, K. Lang, A. Dasgupta, M. Mahoney. Community Structure in Large    \nNetworks: Natural Cluster Sizes and the Absence of Large Well-Defined Clusters.\narXiv.org:0810.1355, 2008.                                                     \n                                                                               \nGoogle programming contest, 2002                                               \nhttp://www.google.com/programming-contest/                                     \n                                                                               \nFiles                                                                          \nFile    Description                                                            \nweb-Google.txt.gz   Webgraph from the Google programming contest, 2002         \n
2302`SNAP`web-NotreDame`325729`325729`1497134`unknown`unknown`unknown`203609`0`52%`52%`binary`unsymmetric`no`no`Albert, Jeong and Barabasi`J. Leskovec`1999`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,    \nJure Leskovec http://snap.stanford.edu/data/index.html                        \nemail jure at cs.stanford.edu                                                 \n                                                                              \nNotre Dame web graph                                                          \n                                                                              \nDataset information                                                           \n                                                                              \nNOTE:  see also the version from the Pajek dataset:                           \nBarabasi/NotreDame_www (matrix ID 1510) in the UF Collection.                 \n                                                                              \nNodes represent pages from University of Notre Dame (domain nd.edu) and       \ndirected edges represent hyperlinks between them. The data was collected in   \n1999 by Albert, Jeong and Barabasi.                                           \n                                                                              \nDataset statistics                                                            \nNodes   325729                                                                \nEdges   1497134                                                               \nNodes in largest WCC    325729 (1.000)                                        \nEdges in largest WCC    1497134 (1.000)                                       \nNodes in largest SCC    53968 (0.166)                                         \nEdges in largest SCC    304685 (0.204)                                        \nAverage clustering coefficient  0.4540                                        \nNumber of triangles     8910005                                               \nFraction of closed triangles    0.08767                                       \nDiameter (longest shortest path)    46                                        \n90-percentile effective diameter    9.3                                       \n                                                                              \nSource (citation)                                                             \n                                                                              \nR. Albert, H. Jeong, A.-L. Barabasi. Diameter of the World-Wide Web. Nature,  \n1999.                                                                         \n                                                                              \nFiles                                                                         \nFile    Description                                                           \nweb-NotreDame.txt.gz    University of Notre Dame web graph from 1999          \n                                                                              \nNOTE: a similar version of this problem already appears in the UF Collection: \n                                                                              \nweb-NotreDame       Barabasi/NotreDame_www                                    \n                    in SNAP/:       n: 325729   nz: 1497134                \n                    in Barabasi/:   n: same      nz:   929849                \n                                                                              \n                    The Barabasi/NotreDame_www is an exact copy of            \n                    the graph of that name in the Pajek data set.             \n                    The SNAP collection has a different version of this       \n                    graph, of which SNAP/web-NotreDame is an exact copy.      \n                    It is possible that Barabasi's version of the graph is yet\n                    a 3rd version of this graph.                              \n
2303`SNAP`web-Stanford`281903`281903`2312497`unknown`unknown`unknown`29914`0`28%`28%`binary`unsymmetric`no`no`S. Kamvar`J. Leskovec`2002`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nStanford web graph                                                             \n                                                                               \nNOTE:  see Kamvar/Stanford (matrix ID 979) in the UF Collection                \n                                                                               \nDataset information                                                            \n                                                                               \nNodes represent pages from Stanford University (stanford.edu) and directed     \nedges represent hyperlinks between them. The data was collected in 2002.       \n                                                                               \nDataset statistics                                                             \nNodes   281903                                                                 \nEdges   2312497                                                                \nNodes in largest WCC    255265 (0.906)                                         \nEdges in largest WCC    2234572 (0.966)                                        \nNodes in largest SCC    150532 (0.534)                                         \nEdges in largest SCC    1576314 (0.682)                                        \nAverage clustering coefficient  0.6109                                         \nNumber of triangles     11329473                                               \nFraction of closed triangles    -0.09686                                       \nDiameter (longest shortest path)    740                                        \n90-percentile effective diameter    9.8                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, K. Lang, A. Dasgupta, M. Mahoney. Community Structure in Large    \nNetworks: Natural Cluster Sizes and the Absence of Large Well-Defined Clusters.\narXiv.org:0810.1355, 2008.                                                     \n                                                                               \nFiles                                                                          \nFile    Description                                                            \nweb-Stanford.txt.gz     Stanford web graph from 2002                           \n                                                                               \nNOTE: a similar version this problem already appears in the UF Collection:     \n                                                                               \nweb-Stanford        Kamvar/Stanford (same size and nnz)                        \n                                    n: 281903   nz:  2312497                \n                                                                               \n                    The SNAP/web-Stanford graph and the Kamvar/Stanford        \n                    graphs have the same number of nodes and edges.            \n                    However, they differ in nonzero pattern.                   \n
2304`SNAP`amazon0302`262111`262111`1234877`unknown`unknown`unknown`6594`0`54%`54%`binary`unsymmetric`no`no`J. Leskovec, L. Adamic and B. Adamic`J. Leskovec`2003`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nAmazon product co-purchasing network, March 02 2003                            \n                                                                               \nDataset information                                                            \n                                                                               \nNetwork was collected by crawling Amazon website. It is based on Customers Who \nBought This Item Also Bought feature of the Amazon website. If a product i is  \nfrequently co-purchased with product j, the graph contains a directed edge from\ni to j.                                                                        \n                                                                               \nThe data was collected in March 02 2003.                                       \n                                                                               \nDataset statistics                                                             \nNodes   262111                                                                 \nEdges   1234877                                                                \nNodes in largest WCC    262111 (1.000)                                         \nEdges in largest WCC    1234877 (1.000)                                        \nNodes in largest SCC    241761 (0.922)                                         \nEdges in largest SCC    1131217 (0.916)                                        \nAverage clustering coefficient  0.4240                                         \nNumber of triangles     717719                                                 \nFraction of closed triangles    0.2361                                         \nDiameter (longest shortest path)    29                                         \n90-percentile effective diameter    11                                         \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, L. Adamic and B. Adamic. The Dynamics of Viral Marketing. ACM     \nTransactions on the Web (ACM TWEB), 1(1), 2007.                                \n                                                                               \nFiles                                                                          \nFile    Description                                                            \namazon0302.txt.gz   Amazon product co-purchasing network from March 02 2003    \n
2305`SNAP`amazon0312`400727`400727`3200440`unknown`unknown`unknown`13292`0`53%`53%`binary`unsymmetric`no`no`J. Leskovec, L. Adamic and B. Adamic`J. Leskovec`2003`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nAmazon product co-purchasing network, March 12 2003                            \n                                                                               \nDataset information                                                            \n                                                                               \nNetwork was collected by crawling Amazon website. It is based on Customers Who \nBought This Item Also Bought feature of the Amazon website. If a product i is  \nfrequently co-purchased with product j, the graph contains a directed edge from\ni to j.                                                                        \n                                                                               \nThe data was collected in March 12 2003.                                       \n                                                                               \nDataset statistics                                                             \nNodes   400727                                                                 \nEdges   3200440                                                                \nNodes in largest WCC    400727 (1.000)                                         \nEdges in largest WCC    3200440 (1.000)                                        \nNodes in largest SCC    380167 (0.949)                                         \nEdges in largest SCC    3069889 (0.959)                                        \nAverage clustering coefficient  0.4113                                         \nNumber of triangles     3686467                                                \nFraction of closed triangles    0.1605                                         \nDiameter (longest shortest path)    18                                         \n90-percentile effective diameter    7.7                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, L. Adamic and B. Adamic. The Dynamics of Viral Marketing. ACM     \nTransactions on the Web (ACM TWEB), 1(1), 2007.                                \n                                                                               \nFiles                                                                          \nFile    Description                                                            \namazon0312.txt.gz   Amazon product co-purchaisng network from March 12 2003    \n
2306`SNAP`amazon0505`410236`410236`3356824`unknown`unknown`unknown`13928`0`55%`55%`binary`unsymmetric`no`no`J. Leskovec, L. Adamic and B. Adamic`J. Leskovec`2003`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nAmazon product co-purchasing network, May 05 2003                              \n                                                                               \nDataset information                                                            \n                                                                               \nNetwork was collected by crawling Amazon website. It is based on Customers Who \nBought This Item Also Bought feature of the Amazon website. If a product i is  \nfrequently co-purchased with product j, the graph contains a directed edge from\ni to j.                                                                        \n                                                                               \nThe data was collected in May 05 2003.                                         \nDataset statistics                                                             \nNodes   410236                                                                 \nEdges   3356824                                                                \nNodes in largest WCC    410236 (1.000)                                         \nEdges in largest WCC    3356824 (1.000)                                        \nNodes in largest SCC    390304 (0.951)                                         \nEdges in largest SCC    3255816 (0.970)                                        \nAverage clustering coefficient  0.4156                                         \nNumber of triangles     3951063                                                \nFraction of closed triangles    0.1623                                         \nDiameter (longest shortest path)    21                                         \n90-percentile effective diameter    7.6                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, L. Adamic and B. Adamic. The Dynamics of Viral Marketing. ACM     \nTransactions on the Web (ACM TWEB), 1(1), 2007.                                \n                                                                               \nFiles                                                                          \nFile    Description                                                            \namazon0505.txt.gz   Amazon product co-purchaisng network from May 05 2003      \n
2307`SNAP`amazon0601`403394`403394`3387388`unknown`unknown`unknown`1588`0`56%`56%`binary`unsymmetric`no`no`J. Leskovec, L. Adamic and B. Adamic`J. Leskovec`2003`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,     \nJure Leskovec http://snap.stanford.edu/data/index.html                         \nemail jure at cs.stanford.edu                                                  \n                                                                               \nAmazon product co-purchasing network, June 01 2003                             \n                                                                               \nDataset information                                                            \n                                                                               \nNetwork was collected by crawling Amazon website. It is based on Customers Who \nBought This Item Also Bought feature of the Amazon website. If a product i is  \nfrequently co-purchased with product j, the graph contains a directed edge from\ni to j.                                                                        \n                                                                               \nThe data was collected in June 01 2003.                                        \nDataset statistics                                                             \nNodes   403394                                                                 \nEdges   3387388                                                                \nNodes in largest WCC    403364 (1.000)                                         \nEdges in largest WCC    3387224 (1.000)                                        \nNodes in largest SCC    395234 (0.980)                                         \nEdges in largest SCC    3301092 (0.975)                                        \nAverage clustering coefficient  0.4179                                         \nNumber of triangles     3986507                                                \nFraction of closed triangles    0.1656                                         \nDiameter (longest shortest path)    21                                         \n90-percentile effective diameter    7.6                                        \n                                                                               \nSource (citation)                                                              \n                                                                               \nJ. Leskovec, L. Adamic and B. Adamic. The Dynamics of Viral Marketing. ACM     \nTransactions on the Web (ACM TWEB), 1(1), 2007.                                \n                                                                               \nFiles                                                                          \nFile    Description                                                            \nAmazon0601.txt.gz   Amazon product co-purchaisng network from June 01 2003     \n
2308`SNAP`p2p-Gnutella04`10879`10879`39994`unknown`unknown`unknown`6563`0`0%`0%`binary`unsymmetric`no`no`M. Ripeanu and I. Foster and A. Iamnitchi`J. Leskovec`2002`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,    \nJure Leskovec http://snap.stanford.edu/data/index.html                        \nemail jure at cs.stanford.edu                                                 \n                                                                              \nGnutella peer-to-peer network, August 4 2002                                  \n                                                                              \nDataset information                                                           \n                                                                              \nA sequence of snapshots of the Gnutella peer-to-peer file sharing network from\nAugust 2002. There are total of 9 snapshots of Gnutella network collected in  \nAugust 2002. Nodes represent hosts in the Gnutella network topology and edges \nrepresent connections between the Gnutella hosts.                             \n                                                                              \nDataset statistics                                                            \nNodes   10876                                                                 \nEdges   39994                                                                 \nNodes in largest WCC    10876 (1.000)                                         \nEdges in largest WCC    39994 (1.000)                                         \nNodes in largest SCC    4317 (0.397)                                          \nEdges in largest SCC    18742 (0.469)                                         \nAverage clustering coefficient  0.0080                                        \nNumber of triangles     934                                                   \nFraction of closed triangles    0.005402                                      \nDiameter (longest shortest path)    9                                         \n90-percentile effective diameter    5.4                                       \n                                                                              \nSource (citation)                                                             \n                                                                              \nJ. Leskovec, J. Kleinberg and C. Faloutsos. Graph Evolution: Densification and\nShrinking Diameters. ACM Transactions on Knowledge Discovery from Data (ACM   \nTKDD), 1(1), 2007.                                                            \n                                                                              \nM. Ripeanu and I. Foster and A. Iamnitchi. Mapping the Gnutella Network:      \nProperties of Large-Scale Peer-to-Peer Systems and Implications for System    \nDesign. IEEE Internet Computing Journal, 2002.                                \n                                                                              \nFiles                                                                         \nFile    Description                                                           \np2p-Gnutella04.txt.gz   Directed Gnutella P2P network from August 4 2002      \n
2309`SNAP`p2p-Gnutella05`8846`8846`31839`unknown`unknown`unknown`5613`0`0%`0%`binary`unsymmetric`no`no`M. Ripeanu and I. Foster and A. Iamnitchi`J. Leskovec`2002`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,    \nJure Leskovec http://snap.stanford.edu/data/index.html                        \nemail jure at cs.stanford.edu                                                 \n                                                                              \nGnutella peer-to-peer network, August 5 2002                                  \n                                                                              \nDataset information                                                           \n                                                                              \nA sequence of snapshots of the Gnutella peer-to-peer file sharing network from\nAugust 2002. There are total of 9 snapshots of Gnutella network collected in  \nAugust 2002. Nodes represent hosts in the Gnutella network topology and edges \nrepresent connections between the Gnutella hosts.                             \n                                                                              \nDataset statistics                                                            \nNodes   8846                                                                  \nEdges   31839                                                                 \nNodes in largest WCC    8842 (1.000)                                          \nEdges in largest WCC    31837 (1.000)                                         \nNodes in largest SCC    3234 (0.366)                                          \nEdges in largest SCC    13453 (0.423)                                         \nAverage clustering coefficient  0.0093                                        \nNumber of triangles     1112                                                  \nFraction of closed triangles    0.007598                                      \nDiameter (longest shortest path)    9                                         \n90-percentile effective diameter    5.3                                       \n                                                                              \nSource (citation)                                                             \n                                                                              \nJ. Leskovec, J. Kleinberg and C. Faloutsos. Graph Evolution: Densification and\nShrinking Diameters. ACM Transactions on Knowledge Discovery from Data (ACM   \nTKDD), 1(1), 2007.                                                            \n                                                                              \nM. Ripeanu and I. Foster and A. Iamnitchi. Mapping the Gnutella Network:      \nProperties of Large-Scale Peer-to-Peer Systems and Implications for System    \nDesign. IEEE Internet Computing Journal, 2002.                                \n                                                                              \nFiles                                                                         \nFile    Description                                                           \np2p-Gnutella05.txt.gz   Directed Gnutella P2P network from August 5 2002      \n                                                                              \n
2310`SNAP`p2p-Gnutella06`8717`8717`31525`unknown`unknown`unknown`5492`0`0%`0%`binary`unsymmetric`no`no`M. Ripeanu and I. Foster and A. Iamnitchi`J. Leskovec`2002`directed graph`\nNetworks from SNAP (Stanford Network Analysis Platform) Network Data Sets,    \nJure Leskovec http://snap.stanford.edu/data/index.html                        \nemail jure at cs.stanford.edu                                                 \n                                                                              \nGnutella peer-to-peer network, August 6 2002                                  \n                                                                              \nDataset information                                                           \n                                                                              \nA sequence of snapshots of the Gnutella peer-to-peer file sharing network from\nAugust 2002. There are total of 9 snapshots of Gnutella network collected in  \nAugust 2002. Nodes represent hosts in the Gnutella network topology and edges \nrepresent connections between the Gnutella hosts.                             \n                                                                              \nDataset statistics                                                            \nNodes   8717                                                                  \nEdges   31525                                                                 \nNodes in largest WCC    8717 (1.000)                                          \nEdges in largest WCC    31525 (1.000)                                         \nNodes in largest SCC    3226 (0.370)                                          \nEdges in largest SCC    13589 (0.431)                                         \nAverage clustering coefficient  0.0086                                        \nNumber of triangles     1142                                                  \nFraction of closed triangles    0.008108                                      \nDiameter (longest shortest path)    9                                         \n90-percentile effective diameter    5.3                                       \n                                                                              \nSource (citation)                                                             \n                                                                              \nJ. Leskovec, J. Kleinberg and C. Faloutsos. Graph Evolution: Densification and\nShrinking Diameters. ACM Transactions on Knowledge Discovery from Data (ACM   \nTKDD), 1(1), 2007.                                                            \n                                                                              \nM. Ripeanu and I. Foster and A. Iamnitchi. Mapping the Gnutella Network:      \nProperties of Large-Scale Peer-to-Peer Systems and Implications for System    \nDesign. IEEE Internet Computing Journal, 2002.                                \n                                                                              \nFiles                                                                         \nFile    Description                                                           \np2p-Gnutella06.txt.gz   Directed Gnutella P2P network from August 6 2002      \n
